CarID	DIRECTION	ARRIVAL-TIME	CROSS-TIME	  Wait Time
1		N	 21:40:2	 21:40:2	  0 
5		N	 21:40:3	 21:40:3	  0 
8		N	 21:40:4	 21:40:4	  0 
10		N	 21:40:5	 21:40:5	  0 
3		E	 21:40:2	 21:40:6	  4 
9		E	 21:40:5	 21:40:7	  2 
11		E	 21:40:6	 21:40:8	  2 
4		W	 21:40:2	 21:40:9	  7 
7		W	 21:40:4	 21:40:10	  6 
12		W	 21:40:7	 21:40:11	  4 
13		W	 21:40:8	 21:40:12	  4 
15		W	 21:40:9	 21:40:13	  4 
17		W	 21:40:10	 21:40:14	  4 
20		W	 21:40:11	 21:40:15	  4 
22		W	 21:40:13	 21:40:16	  3 
16		E	 21:40:9	 21:40:17	  8 
18		E	 21:40:10	 21:40:18	  8 
21		E	 21:40:11	 21:40:19	  8 
2		S	 21:40:2	 21:40:20	  18 
6		S	 21:40:3	 21:40:21	  18 
14		S	 21:40:8	 21:40:22	  14 
19		S	 21:40:11	 21:40:23	  12 
23		E	 21:40:16	 21:40:24	  8 
24		E	 21:40:18	 21:40:25	  7 
27		E	 21:40:21	 21:40:26	  5 
29		E	 21:40:23	 21:40:27	  4 
30		E	 21:40:24	 21:40:28	  4 
31		E	 21:40:25	 21:40:29	  4 
35		E	 21:40:27	 21:40:30	  3 
25		S	 21:40:20	 21:40:31	  11 
28		S	 21:40:21	 21:40:32	  11 
33		S	 21:40:27	 21:40:33	  6 
37		S	 21:40:29	 21:40:34	  5 
39		S	 21:40:31	 21:40:35	  4 
42		S	 21:40:33	 21:40:36	  3 
43		S	 21:40:35	 21:40:37	  2 
36		E	 21:40:28	 21:40:38	  10 
38		E	 21:40:30	 21:40:39	  9 
40		E	 21:40:31	 21:40:40	  9 
26		W	 21:40:21	 21:40:41	  20 
34		W	 21:40:27	 21:40:42	  15 
41		E	 21:40:32	 21:40:43	  11 
45		E	 21:40:41	 21:40:44	  3 
46		E	 21:40:42	 21:40:45	  3 
32		N	 21:40:26	 21:40:46	  20 
53		N	 21:40:47	 21:40:47	  0 
48		E	 21:40:45	 21:40:48	  3 
49		E	 21:40:46	 21:40:49	  3 
52		E	 21:40:47	 21:40:50	  3 
56		E	 21:40:50	 21:40:51	  1 
57		E	 21:40:51	 21:40:52	  1 
44		S	 21:40:41	 21:40:53	  12 
47		S	 21:40:44	 21:40:54	  10 
50		S	 21:40:47	 21:40:55	  8 
51		W	 21:40:47	 21:40:56	  9 
54		W	 21:40:48	 21:40:57	  9 
58		W	 21:40:52	 21:40:58	  6 
55		S	 21:40:49	 21:40:59	  10 
61		E	 21:40:54	 21:41:0	  6 
64		E	 21:40:56	 21:41:1	  5 
66		E	 21:40:58	 21:41:2	  4 
