CarID	DIRECTION	ARRIVAL-TIME	CROSS-TIME	  Wait Time
1		N	 21:55:25	 21:55:25	  0 
5		N	 21:55:26	 21:55:26	  0 
8		N	 21:55:27	 21:55:27	  0 
10		N	 21:55:28	 21:55:28	  0 
12		N	 21:55:29	 21:55:29	  0 
3		E	 21:55:25	 21:55:30	  5 
6		E	 21:55:26	 21:55:31	  5 
11		E	 21:55:28	 21:55:32	  4 
4		W	 21:55:25	 21:55:33	  8 
2		S	 21:55:25	 21:55:34	  9 
7		W	 21:55:27	 21:55:35	  8 
16		W	 21:55:31	 21:55:36	  5 
18		W	 21:55:32	 21:55:37	  5 
20		W	 21:55:33	 21:55:38	  5 
9		S	 21:55:27	 21:55:39	  12 
13		S	 21:55:30	 21:55:40	  10 
14		E	 21:55:30	 21:55:41	  11 
15		E	 21:55:31	 21:55:42	  11 
17		E	 21:55:32	 21:55:43	  11 
19		S	 21:55:33	 21:55:44	  11 
21		S	 21:55:34	 21:55:45	  11 
24		S	 21:55:39	 21:55:46	  7 
26		S	 21:55:43	 21:55:47	  4 
28		S	 21:55:44	 21:55:48	  4 
31		S	 21:55:47	 21:55:49	  2 
32		S	 21:55:48	 21:55:50	  2 
23		E	 21:55:36	 21:55:51	  15 
22		W	 21:55:34	 21:55:52	  18 
25		E	 21:55:41	 21:55:53	  12 
29		E	 21:55:44	 21:55:54	  10 
27		W	 21:55:43	 21:55:55	  12 
30		E	 21:55:45	 21:55:56	  11 
33		W	 21:55:49	 21:55:57	  8 
36		W	 21:55:50	 21:55:58	  8 
37		W	 21:55:51	 21:55:59	  8 
40		W	 21:55:53	 21:56:0	  7 
43		W	 21:55:55	 21:56:1	  6 
38		E	 21:55:51	 21:56:2	  11 
39		E	 21:55:53	 21:56:3	  10 
41		E	 21:55:54	 21:56:4	  10 
42		E	 21:55:55	 21:56:5	  10 
34		S	 21:55:50	 21:56:6	  16 
44		S	 21:55:57	 21:56:7	  10 
45		S	 21:56:3	 21:56:8	  5 
47		S	 21:56:5	 21:56:9	  4 
35		N	 21:55:50	 21:56:10	  20 
46		W	 21:56:4	 21:56:11	  7 
48		W	 21:56:6	 21:56:12	  6 
50		W	 21:56:9	 21:56:13	  4 
49		S	 21:56:8	 21:56:14	  6 
51		S	 21:56:9	 21:56:15	  6 
53		S	 21:56:10	 21:56:16	  6 
57		S	 21:56:13	 21:56:17	  4 
58		S	 21:56:14	 21:56:18	  4 
52		W	 21:56:10	 21:56:19	  9 
54		W	 21:56:11	 21:56:20	  9 
56		W	 21:56:12	 21:56:21	  9 
60		S	 21:56:15	 21:56:22	  7 
61		S	 21:56:16	 21:56:23	  7 
59		E	 21:56:15	 21:56:24	  9 
63		E	 21:56:17	 21:56:25	  8 
